,graph,model,seed,threshold,n_covered,n,coverage,t_mean
0,football,GRAT,13,0.8,58,115,0.5043478260869565,0.17351841926574707
1,jazz,GRAT,13,0.8,86,198,0.43434343434343436,0.5366709232330322
2,karate,GRAT,13,0.8,27,62,0.43548387096774194,0.20053529739379883
3,CA-CondMat,GRAT,13,0.8,8991,23133,0.38866554273116327,7.254933595657349
4,gemsec_facebook_artist,GRAT,13,0.8,2060,50514,0.04078077364690977,24.150413990020752
5,ego-facebook,GRAT,13,0.8,105,4039,0.025996533795493933,4.118873596191406
6,actors_dat,GRAT,13,0.8,3024,10042,0.3011352320254929,4.654564142227173
7,CA-AstroPh,GRAT,13,0.8,7918,18772,0.4217984231834647,6.330549955368042
8,CA-CondMat,GRAT,13,0.8,8991,23133,0.38866554273116327,6.245251178741455
9,CA-GrQc,GRAT,13,0.8,1886,5242,0.35978634109118657,1.0681140422821045
10,CA-HepPh,GRAT,13,0.8,4721,12008,0.3931545636242505,3.990948438644409
11,CA-HepTh,GRAT,13,0.8,3783,9877,0.38301103573959705,1.818458080291748
12,dolphins,GRAT,13,0.8,14,34,0.4117647058823529,0.1731703281402588
13,Email-Enron,GRAT,13,0.8,8016,36692,0.21846724081543661,11.51404333114624
14,ncstrlwg2,GRAT,13,0.8,2298,6396,0.3592870544090056,1.1135475635528564
15,soc-gplus,GRAT,13,0.8,2032,23628,0.08599966141865584,2.8050484657287598
16,socfb-Brandeis99,GRAT,13,0.8,1887,3898,0.4840944073884043,2.758028745651245
17,socfb-Mich67,GRAT,13,0.8,1848,3748,0.49306296691568835,2.1732614040374756
18,socfb-nips-ego,GRAT,13,0.8,8,2888,0.002770083102493075,0.3455829620361328
