,graph,model,seed,threshold,n_covered,n,coverage,t_mean
0,football,GRAT,13,0.5,35,115,0.304347826,0.106146336
1,jazz,GRAT,13,0.5,61,198,0.308080808,0.392206669
2,karate,GRAT,13,0.5,13,62,0.209677419,0.141047716
3,CA-CondMat,GRAT,13,0.5,4063,23133,0.175636537,5.954055786
4,gemsec_facebook_artist,GRAT,13,0.5,804,50514,0.01591638,9.533004522
5,ego-facebook,GRAT,13,0.5,94,4039,0.023273087,1.725305796
6,actors_dat,GRAT,13,0.5,2114,10042,0.210515833,3.023132563
7,CA-AstroPh,GRAT,13,0.5,4311,18772,0.229650543,5.935426712
8,CA-CondMat,GRAT,13,0.5,4063,23133,0.175636537,6.247168779
9,CA-GrQc,GRAT,13,0.5,948,5242,0.180847005,0.972756147
10,CA-HepPh,GRAT,13,0.5,2275,12008,0.189457029,3.662331343
11,CA-HepTh,GRAT,13,0.5,1596,9877,0.161587527,1.647190809
12,dolphins,GRAT,13,0.5,3,34,0.088235294,0.157024622
13,Email-Enron,GRAT,13,0.5,3855,36692,0.105063774,11.99161124
14,ncstrlwg2,GRAT,13,0.5,1420,6396,0.222013759,1.019615412
15,soc-gplus,GRAT,13,0.5,1549,23628,0.065557813,2.705376387
16,socfb-Brandeis99,GRAT,13,0.5,1276,3898,0.327347358,2.368788004
17,socfb-Mich67,GRAT,13,0.5,1194,3748,0.318569904,1.929018974
18,socfb-nips-ego,GRAT,13,0.5,8,2888,0.002770083,0.317967176
