,graph,model,seed,threshold,n_covered,n,coverage,t_mean
0,football,GRAT,13,0.5,32,115,0.2782608695652174,0.15658831596374512
1,jazz,GRAT,13,0.5,55,198,0.2777777777777778,0.5504610538482666
2,karate,GRAT,13,0.5,9,62,0.14516129032258066,0.17716550827026367
3,CA-CondMat,GRAT,13,0.5,3182,23133,0.13755241429991788,7.671497583389282
4,gemsec_facebook_artist,GRAT,13,0.5,504,50514,0.009977431999049768,10.429734706878662
5,ego-facebook,GRAT,13,0.5,1161,4039,0.28744738796731867,2.509882926940918
6,actors_dat,GRAT,13,0.5,2587,10042,0.25761800438159727,4.084574222564697
7,CA-AstroPh,GRAT,13,0.5,2909,18772,0.1549648412529299,7.66083025932312
8,CA-CondMat,GRAT,13,0.5,3182,23133,0.13755241429991788,8.060505151748657
9,CA-GrQc,GRAT,13,0.5,1065,5242,0.20316673025562762,1.2079362869262695
10,CA-HepPh,GRAT,13,0.5,2343,12008,0.1951199200532978,4.797631502151489
11,CA-HepTh,GRAT,13,0.5,1433,9877,0.1450845398400324,2.064850091934204
12,dolphins,GRAT,13,0.5,3,34,0.08823529411764706,0.17505598068237305
13,Email-Enron,GRAT,13,0.5,3317,36692,0.09040117736836367,16.08988332748413
14,ncstrlwg2,GRAT,13,0.5,1155,6396,0.1805816135084428,1.2518413066864014
15,soc-gplus,GRAT,13,0.5,1089,23628,0.046089385474860335,5.469192981719971
16,socfb-Brandeis99,GRAT,13,0.5,909,3898,0.2331965110312981,3.278975009918213
17,socfb-Mich67,GRAT,13,0.5,829,3748,0.2211846318036286,2.994608163833618
18,socfb-nips-ego,GRAT,13,0.5,434,2888,0.15027700831024932,0.853259801864624
