,graph,model,seed,threshold,n_covered,n,coverage,t_mean
0,Amazon0302,GRAT,13,0.5,52859,262111,0.20166646954916048,999.7431848049164
1,Amazon0312,GRAT,13,0.5,78118,400727,0.1949406952863171,2372.091987848282
2,Amazon0505,GRAT,13,0.5,75931,410236,0.1850910207782837,3125.944628715515
3,Amazon0601,GRAT,13,0.5,1668,403393,0.004134925494492963,395.0101945400238
4,com-dblp,GRAT,13,0.5,58628,317080,0.18489970985240317,2012.4618880748749
5,com-youtube,GRAT,13,0.5,16988,1134796,0.014970091540682202,6217.375282764435
6,deezer_HR,GRAT,13,0.5,13911,54573,0.2549062723324721,57.812031269073486
7,ego-facebook,GRAT,13,0.5,94,4039,0.02327308739787076,2.7181546688079834
8,gemsec_facebook_artist,GRAT,13,0.5,804,50514,0.015916379617531774,13.280994892120361
9,actors_dat,GRAT,13,0.5,2114,10042,0.21051583349930292,3.7249722480773926
10,CA-AstroPh,GRAT,13,0.5,4311,18772,0.22965054336245472,7.0935375690460205
11,CA-CondMat,GRAT,13,0.5,4063,23133,0.175636536549518,6.5346856117248535
12,CA-GrQc,GRAT,13,0.5,948,5242,0.18084700495993897,0.9304053783416748
13,CA-HepPh,GRAT,13,0.5,2275,12008,0.18945702864756828,3.980074167251587
14,CA-HepTh,GRAT,13,0.5,1596,9877,0.16158752657689582,1.778897762298584
15,dolphins,GRAT,13,0.5,3,34,0.08823529411764706,0.14999985694885254
16,Email-Enron,GRAT,13,0.5,3855,36692,0.10506377411969911,13.448198080062866
17,football,GRAT,13,0.5,35,115,0.30434782608695654,0.22917509078979492
18,jazz,GRAT,13,0.5,61,198,0.30808080808080807,0.4148225784301758
19,karate,GRAT,13,0.5,13,62,0.20967741935483872,0.16536164283752441
20,ncstrlwg2,GRAT,13,0.5,1420,6396,0.22201375859912445,1.0637202262878418
21,loc-gowalla_edges,GRAT,13,0.5,29615,196591,0.15064270490510756,474.34199595451355
22,musae_git,GRAT,13,0.5,7960,37700,0.21114058355437665,23.013956308364868
23,soc-gplus,GRAT,13,0.5,1549,23628,0.06555781276451668,3.0560338497161865
24,socfb-Brandeis99,GRAT,13,0.5,1276,3898,0.32734735761929196,2.7495005130767822
25,socfb-Mich67,GRAT,13,0.5,1194,3748,0.31856990394877266,2.1583828926086426
26,socfb-nips-ego,GRAT,13,0.5,8,2888,0.002770083102493075,0.3137505054473877
