time: 293.7373261451721, n: 5000
7.35106212e-04,2.40084961e-04,2.50000000e+01,3.32557211e-01,6.28260277e-04
6.33942787e-04,2.16867604e-04,2.20000000e+01,3.24694726e-01,4.90995935e-04
4.27299252e-04,2.15694624e-04,2.20000000e+01,3.25053645e-01,4.66323599e-04
1.91193021e-04,1.91001185e-04,1.90000000e+01,3.17739783e-01,3.53249995e-04
1.06568104e-04,1.46458933e-04,1.40000000e+01,3.11153990e-01,1.80893914e-04
6.82097218e-04,2.25294064e-04,2.30000000e+01,3.25286309e-01,5.13695738e-04
7.74381577e-04,2.50097289e-04,2.60000000e+01,3.31960954e-01,6.64387584e-04
2.17766072e-04,1.47795067e-04,1.40000000e+01,3.09057187e-01,1.89564031e-04
4.85992493e-04,1.99117111e-04,2.00000000e+01,3.21913839e-01,4.00409504e-04
2.72849301e-04,1.82809855e-04,1.80000000e+01,3.18326541e-01,3.48326323e-04
3.44041770e-04,1.65834127e-04,1.60000000e+01,3.13672586e-01,2.60954799e-04
3.16092090e-04,1.82956404e-04,1.80000000e+01,3.15175588e-01,3.17811962e-04
2.16688239e-04,1.75800827e-04,1.70000000e+01,3.12359410e-01,2.87332298e-04
1.26863870e-03,2.70482167e-04,2.80000000e+01,3.31388797e-01,8.01419402e-04
3.59394899e-04,1.67613848e-04,1.60000000e+01,3.10960438e-01,2.74225365e-04
7.41941164e-04,1.99086763e-04,2.00000000e+01,3.21623882e-01,3.84980723e-04
2.69827976e-04,2.01231891e-04,2.00000000e+01,3.18063244e-01,4.04876963e-04
4.52502730e-04,2.15240274e-04,2.20000000e+01,3.28147565e-01,5.00284430e-04
3.31179488e-04,1.73988879e-04,1.70000000e+01,3.15096124e-01,2.94321302e-04
4.41205322e-04,1.93450472e-04,1.90000000e+01,3.16392405e-01,3.69143427e-04
5.47674697e-04,2.16972213e-04,2.20000000e+01,3.24000259e-01,4.77533015e-04
1.67348608e-04,1.66591526e-04,1.60000000e+01,3.12946037e-01,2.85696484e-04
3.96961864e-04,2.08074050e-04,2.10000000e+01,3.24210390e-01,4.52187071e-04
1.40911840e-04,1.74279386e-04,1.70000000e+01,3.14382743e-01,2.91487068e-04
7.37221275e-04,2.67682248e-04,2.80000000e+01,3.34426010e-01,8.03801851e-04
8.06549452e-04,2.42895033e-04,2.50000000e+01,3.28427830e-01,6.12221045e-04
6.18569327e-04,2.17021253e-04,2.20000000e+01,3.24758007e-01,5.01202938e-04
1.20087366e-03,2.41875235e-04,2.50000000e+01,3.29597152e-01,6.22611881e-04
3.94919439e-04,1.73332334e-04,1.70000000e+01,3.17215559e-01,2.99456384e-04
4.63840640e-04,2.50844365e-04,2.60000000e+01,3.31366830e-01,6.69579705e-04
6.32711027e-04,2.03277684e-04,2.00000000e+01,3.18874785e-01,4.49070689e-04
1.56374716e-04,1.38900205e-04,1.30000000e+01,3.08561200e-01,1.74904429e-04
7.72151736e-04,2.70367619e-04,2.80000000e+01,3.30993842e-01,7.82413934e-04
2.63853707e-04,1.84606114e-04,1.80000000e+01,3.15633287e-01,3.46821813e-04
1.43773611e-04,1.31528391e-04,1.20000000e+01,3.04038438e-01,1.53090396e-04
4.64197170e-04,2.02010144e-04,2.00000000e+01,3.19567858e-01,4.30048437e-04
