,graph,model,seed,threshold,n_covered,n,coverage,t_mean
0,ego-facebook,GAT,13,0.8,1292,4039,0.31988115870264916,0.8149759769439697
1,gemsec_facebook_artist,GAT,13,0.8,6539,50514,0.1294492615908461,11.49622631072998
2,actors_dat,GAT,13,0.8,3601,10042,0.35859390559649473,1.853649377822876
3,CA-AstroPh,GAT,13,0.8,6777,18772,0.3610164074152994,4.033037185668945
4,CA-CondMat,GAT,13,0.8,8287,23133,0.3582328275623568,5.29738974571228
5,CA-GrQc,GAT,13,0.8,1665,5242,0.317626859977108,0.6124637126922607
6,CA-HepPh,GAT,13,0.8,3697,12008,0.30787808127914723,2.2008512020111084
7,CA-HepTh,GAT,13,0.8,2918,9877,0.29543383618507646,1.3820607662200928
8,dolphins,GAT,13,0.8,12,34,0.35294117647058826,0.0264892578125
9,Email-Enron,GAT,13,0.8,9826,36692,0.2677967949416767,10.79379415512085
10,football,GAT,13,0.8,57,115,0.4956521739130435,0.09426641464233398
11,jazz,GAT,13,0.8,106,198,0.5353535353535354,0.04726696014404297
12,karate,GAT,13,0.8,34,62,0.5483870967741935,0.03125309944152832
13,ncstrlwg2,GAT,13,0.8,2326,6396,0.3636647904940588,0.7034149169921875
14,soc-gplus,GAT,13,0.8,7164,23628,0.30319959370238697,4.691555500030518
15,socfb-Brandeis99,GAT,13,0.8,2198,3898,0.5638789122626988,1.0948567390441895
16,socfb-Mich67,GAT,13,0.8,2097,3748,0.5594983991462114,0.7850706577301025
17,socfb-nips-ego,GAT,13,0.8,986,2888,0.3414127423822715,0.26573705673217773
18,ego-facebook,GCN,13,0.8,1745,4039,0.43203763307749443,0.7354416847229004
19,gemsec_facebook_artist,GCN,13,0.8,6715,50514,0.13293344419368888,10.980019807815552
20,actors_dat,GCN,13,0.8,4080,10042,0.4062935670185222,1.8646721839904785
21,CA-AstroPh,GCN,13,0.8,7446,18772,0.39665459194545066,4.293157339096069
22,CA-CondMat,GCN,13,0.8,9646,23133,0.41698007175895907,5.551089286804199
23,CA-GrQc,GCN,13,0.8,2059,5242,0.3927890118275467,0.5959188938140869
24,CA-HepPh,GCN,13,0.8,4868,12008,0.4053964023984011,2.1798737049102783
25,CA-HepTh,GCN,13,0.8,3638,9877,0.3683304647160069,1.3944542407989502
26,dolphins,GCN,13,0.8,11,34,0.3235294117647059,0.012158632278442383
27,Email-Enron,GCN,13,0.8,13278,36692,0.36187724844652785,13.84496545791626
28,football,GCN,13,0.8,61,115,0.5304347826086957,0.08532834053039551
29,jazz,GCN,13,0.8,109,198,0.5505050505050505,0.04761838912963867
30,karate,GCN,13,0.8,28,62,0.45161290322580644,0.015629291534423828
31,ncstrlwg2,GCN,13,0.8,2461,6396,0.38477173233270795,0.7658424377441406
32,soc-gplus,GCN,13,0.8,8157,23628,0.3452260030472321,5.07155179977417
33,socfb-Brandeis99,GCN,13,0.8,2033,3898,0.521549512570549,0.9473540782928467
34,socfb-Mich67,GCN,13,0.8,1984,3748,0.5293489861259338,0.8018240928649902
35,socfb-nips-ego,GCN,13,0.8,298,2888,0.10318559556786704,0.21753740310668945
36,ego-facebook,GraphConv,13,0.8,1835,4039,0.45432037633077493,0.738041877746582
37,gemsec_facebook_artist,GraphConv,13,0.8,6995,50514,0.13847646197093874,10.95269227027893
38,actors_dat,GraphConv,13,0.8,3638,10042,0.36227843059151565,1.7203755378723145
39,CA-AstroPh,GraphConv,13,0.8,6889,18772,0.3669827402514383,3.9251673221588135
40,CA-CondMat,GraphConv,13,0.8,9166,23133,0.39623049323477283,5.227982759475708
41,CA-GrQc,GraphConv,13,0.8,1876,5242,0.35787867226249526,0.5632839202880859
42,CA-HepPh,GraphConv,13,0.8,3965,12008,0.33019653564290474,1.9938912391662598
43,CA-HepTh,GraphConv,13,0.8,3098,9877,0.313657993317809,1.167201042175293
44,dolphins,GraphConv,13,0.8,16,34,0.47058823529411764,0.028491497039794922
45,Email-Enron,GraphConv,13,0.8,8922,36692,0.24315927177586394,10.231388807296753
46,football,GraphConv,13,0.8,69,115,0.6,0.07783126831054688
47,jazz,GraphConv,13,0.8,114,198,0.5757575757575758,0.05592751502990723
48,karate,GraphConv,13,0.8,32,62,0.5161290322580645,0.026183128356933594
49,ncstrlwg2,GraphConv,13,0.8,2547,6396,0.3982176360225141,0.7393214702606201
50,soc-gplus,GraphConv,13,0.8,7271,23628,0.30772811918063314,4.847321271896362
51,socfb-Brandeis99,GraphConv,13,0.8,2268,3898,0.581836839404823,1.001481533050537
52,socfb-Mich67,GraphConv,13,0.8,2132,3748,0.5688367129135539,0.829827070236206
53,socfb-nips-ego,GraphConv,13,0.8,291,2888,0.10076177285318559,0.23310351371765137
