,graph,model,seed,threshold,n_covered,n,coverage,t_mean
0,Amazon0302,GAT,13,0.5,53017,262111,0.20226926760036779,981.2873661518097
1,Amazon0312,GAT,13,0.5,82541,400727,0.20597813474010984,2662.2605261802673
2,Amazon0505,GAT,13,0.5,76803,410236,0.18721662652716972,2379.210666656494
3,Amazon0601,GAT,13,0.5,4491,403393,0.011133063786431594,246.72177290916443
4,com-youtube,GAT,13,0.5,63082,1134796,0.05558884592473008,6369.097616434097
5,com-dblp,GAT,13,0.5,68533,317080,0.2161378831840545,1439.613305091858
6,loc-gowalla_edges,GAT,13,0.5,26691,196591,0.1357691857714748,377.4050226211548
7,deezer_HR,GAT,13,0.5,13992,54573,0.25639052278599306,34.308847427368164
8,musae_git,GAT,13,0.5,10125,37700,0.26856763925729443,16.71753454208374
9,Amazon0302,GCN,13,0.5,54046,262111,0.2061950852882939,921.5267632007599
10,Amazon0312,GCN,13,0.5,76890,400727,0.19187626488856505,2017.078048467636
11,Amazon0505,GCN,13,0.5,77545,410236,0.18902534151074016,2098.033281803131
12,Amazon0601,GCN,13,0.5,2371,403393,0.00587764289415037,244.5463273525238
13,com-youtube,GCN,13,0.5,97527,1134796,0.08594231914811121,6948.423453807831
14,com-dblp,GCN,13,0.5,60971,317080,0.1922890122366595,1375.9502367973328
15,loc-gowalla_edges,GCN,13,0.5,31243,196591,0.15892385714503715,407.5629918575287
16,deezer_HR,GCN,13,0.5,13785,54573,0.2525974382936617,34.60655879974365
17,musae_git,GCN,13,0.5,7803,37700,0.2069761273209549,16.94036626815796
18,Amazon0302,GraphConv,13,0.5,56035,262111,0.2137834734139353,923.2695798873901
19,Amazon0312,GraphConv,13,0.5,87891,400727,0.21932886977917634,2066.573709011078
20,Amazon0505,GraphConv,13,0.5,85385,410236,0.20813629228054095,2154.570756673813
21,Amazon0601,GraphConv,13,0.5,1966,403393,0.004873659185955136,225.40743780136108
22,com-youtube,GraphConv,13,0.5,36679,1134796,0.03232210899580189,5920.321401834488
23,com-dblp,GraphConv,13,0.5,70532,317080,0.22244228585845843,1432.4958665370941
24,loc-gowalla_edges,GraphConv,13,0.5,16938,196591,0.08615857287464838,355.29815888404846
25,deezer_HR,GraphConv,13,0.5,13751,54573,0.25197441958477634,33.780688762664795
26,musae_git,GraphConv,13,0.5,8572,37700,0.2273740053050398,16.79286003112793
